Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,CrdY,CrdR,2CrdY,Goals,Shots,SoT,Assists
99,Angeliño,ESP,DF,RB Leipzig,Bundesliga,25,1997,29,0.12,0,0,0.08,0.59,0.27,0.2
100,Ebenezer Annan,GHA,DF,Bologna,Serie A,19,2002,1,0,0,0,0,0,0,0
101,Cristian Ansaldi,ARG,DF,Torino,Serie A,35,1986,19,0.26,0,0,0,0.91,0.13,0.39
102,Janis Antiste,FRA,FW,Spezia,Serie A,19,2002,18,0,0,0,0.11,1.25,0.23,0
103,Waldemar Anton,GER,DF,Stuttgart,Bundesliga,25,1996,29,0.21,0.03,0,0.07,0.8,0.21,0.03
104,Josep Antoni Gayá,ESP,DF,Mallorca,La Liga,21,2000,1,0,0,0,0,0,0,0
105,Michail Antonio,JAM,FW,West Ham,Premier League,32,1990,36,0.24,0.03,0.03,0.3,2.52,0.82,0.24
106,Christopher Antwi-Adjei,GHA,FWMF,Bochum,Bundesliga,28,1994,25,0.16,0,0,0.08,2.3,0.79,0.08
107,Houssem Aouar,FRA,MFFW,Lyon,Ligue 1,23,1998,36,0.04,0,0,0.22,2.77,0.9,0.14
108,Adil Aouchiche,FRA,MFFW,Saint-Étienne,Ligue 1,19,2002,35,0.17,0,0,0,1.83,0.83,0.33
109,Dennis Appiah,FRA,DF,Nantes,Ligue 1,29,1992,32,0.17,0,0,0,0.09,0,0
110,Mauro Arambarri,URU,MF,Getafe,La Liga,26,1995,31,0.44,0,0,0,1.25,0.27,0.17
111,Mattia Aramu,ITA,MFFW,Venezia,Serie A,27,1995,32,0.26,0,0,0.3,2.45,0.69,0.21
112,Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,33,1989,26,0.11,0,0,0.06,0.63,0.17,0.23
113,Néstor Araujo,MEX,DF,Celta Vigo,La Liga,30,1991,34,0.14,0,0,0,0.27,0.03,0
114,Ronald Araújo,URU,DF,Barcelona,La Liga,23,1999,30,0.24,0,0,0.16,0.75,0.4,0
115,Cameron Archer,ENG,MFFW,Aston Villa,Premier League,20,2001,3,0,0,0,0,3.33,0,0
116,Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,1,0,0,0,0,0,0,0
117,Jesús Areso,ESP,DF,Osasuna,La Liga,22,1999,3,0.48,0,0,0,0,0,0
118,Matias Arezo,URU,FW,Granada,La Liga,19,2002,8,0.56,0,0,0,2.78,1.67,0
119,Santiago Arias,COL,DF,Granada,La Liga,30,1992,12,0.2,0,0,0.2,0.61,0.2,0
120,Adam Armstrong,ENG,FW,Southampton,Premier League,25,1997,23,0.06,0,0,0.13,2.99,0.89,0.13
121,Stuart Armstrong,SCO,MF,Southampton,Premier League,30,1992,25,0.06,0,0,0.12,2.32,0.55,0
122,Marko Arnautovi?,AUT,FW,Bologna,Serie A,33,1989,33,0.2,0,0,0.47,3.04,1.07,0.03
123,Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,28,1994,34,0.12,0,0,0.12,1.2,0.42,0.06
124,Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,27,1994,4,0,0,0,0,0,0,0
125,Tolgay Arslan,GER,MF,Udinese,Serie A,31,1990,30,0.49,0,0,0.05,1.25,0.49,0
126,Arthur,BRA,FW,Fiorentina,Serie A,24,1998,14,0.12,0,0,0.24,2.77,0.96,0.24
127,Santiago Arzamendia,PAR,MFDF,Cádiz,La Liga,24,1998,14,0.38,0,0,0.19,1.15,0.19,0
128,Takuma Asano,JPN,FWMF,Bochum,Bundesliga,27,1994,27,0.06,0,0,0.17,1.79,0.61,0.22
129,Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,25,1997,28,0.19,0,0,0,0.49,0.04,0.04
130,Sergio Asenjo,ESP,GK,Villarreal,La Liga,32,1989,6,0.17,0,0,0,0,0,0
131,Alejandro Asensio,ESP,FW,Rayo Vallecano,La Liga,21,2000,2,0,0,0,0,10,0,0
132,Marco Asensio,ESP,FWMF,Real Madrid,La Liga,26,1996,31,0.1,0,0,0.52,3.33,1.61,0
133,Harrison Ashby,SCO,DF,West Ham,Premier League,20,2001,1,0,0,0,0,0,0,0
134,Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,21,2001,19,0.6,0,0,0,0.83,0,0
135,Fisnik Asllani,KVX,MFFW,Hoffenheim,Bundesliga,19,2002,2,0,0,0,0,0,0,0
136,Kristjan Asllani,ALB,MF,Empoli,Serie A,20,2002,23,0.13,0,0,0.07,1.07,0.4,0.07
137,Iago Aspas,ESP,FW,Celta Vigo,La Liga,34,1987,37,0.26,0,0,0.5,2.45,1.08,0.15
138,Lorenz Assignon,TOG,DF,Rennes,Ligue 1,21,2000,20,0,0,0,0,0.88,0.59,0.29
139,Simon Asta,GER,DF,Greuther Fürth,Bundesliga,21,2001,13,0.11,0,0,0,0.34,0,0
140,Youcef Atal,ALG,DF,Nice,Ligue 1,26,1996,17,0.31,0,0,0.16,1.1,0.39,0.08
141,Pierre-Emerick Aubameyang,GAB,FW,Barcelona,La Liga,32,1989,17,0,0,0,0.92,3.17,1.67,0.08
142,Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,32,1989,14,0.26,0,0,0.35,2.87,1.39,0.09
143,Emil Audero,ITA,GK,Sampdoria,Serie A,25,1997,29,0.07,0,0,0,0,0,0
144,Tommaso Augello,ITA,DF,Sampdoria,Serie A,27,1994,36,0,0,0,0.04,0.26,0.08,0.04
145,Jean-Kévin Augustin,FRA,FWMF,Nantes,Ligue 1,24,1997,7,1.11,0,0,0,2.22,0,0
146,Ludwig Augustinsson,SWE,DF,Sevilla,La Liga,28,1994,19,0.34,0,0,0,0.45,0.23,0.11
147,Serge Aurier,CIV,DF,Villarreal,La Liga,29,1992,19,0.36,0,0,0,0.98,0.18,0.09
148,Ezequiel Ávila,ARG,FWMF,Osasuna,La Liga,28,1994,36,0.43,0.05,0.05,0.29,2.88,0.72,0.05
149,Taiwo Awoniyi,NGA,FW,Union Berlin,Bundesliga,24,1997,31,0.04,0,0,0.62,2.73,1.24,0.04
150,Ramzi Aya,ITA,DF,Salernitana,Serie A,31,1990,2,0.67,0,0,0,0.67,0,0
151,Jordan Ayew,GHA,FW,Crystal Palace,Premier League,30,1991,31,0.09,0,0,0.13,1.56,0.36,0.13
152,Kaan Ayhan,TUR,DF,Sassuolo,Serie A,27,1994,23,0.13,0.07,0,0.07,0.33,0.07,0
153,Luke Ayling,ENG,DF,Leeds United,Premier League,30,1991,26,0.16,0.04,0,0.08,0.75,0.12,0.08
154,Karim Azamoum,FRA,DF,Troyes,Ligue 1,32,1990,7,0.47,0,0,0,0.7,0.7,0
155,Sardar Azmoun,IRN,FWMF,Leverkusen,Bundesliga,27,1995,9,0,0,0,0.25,2.5,1,0.25
156,César Azpilicueta,ESP,DF,Chelsea,Premier League,32,1989,27,0.13,0,0,0.04,0.57,0.17,0.09
157,Iddrisu Baba,GHA,MF,Mallorca,La Liga,26,1996,26,0.42,0,0,0.09,1.02,0.37,0
158,Carlos Bacca,COL,FW,Granada,La Liga,35,1986,17,0.53,0,0,0,1.58,0.35,0.18
159,Daniel Bachmann,AUT,GK,Watford,Premier League,27,1994,12,0,0,0,0,0,0,0
160,Loïc Bade,FRA,DF,Rennes,Ligue 1,22,2000,14,0.28,0.09,0.09,0,0.64,0,0.09
161,Milan Badelj,CRO,MF,Genoa,Serie A,33,1989,34,0.13,0,0,0.03,0.7,0.16,0
162,Édgar Badía,ESP,GK,Elche,La Liga,30,1992,24,0.08,0,0,0,0,0,0
163,Benoît Badiashile,FRA,DF,Monaco,Ligue 1,21,2001,24,0.2,0,0,0.05,0.69,0.2,0
164,Youssouph Badji,SEN,FW,Brest,Ligue 1,20,2001,9,0,0,0,0,1.33,0,0
165,Miguel Baeza,ESP,DF,Celta Vigo,La Liga,22,2000,1,0,0,0,0,0,0,0
166,Nicola Bagnolini,ITA,GK,Bologna,Serie A,18,2004,1,0,0,0,0,0,0,0
167,Issa Bah,LUX,FW,Venezia,Serie A,19,2002,1,0,0,0,0,0,0,0
168,Stéphane Bahoken,CMR,FW,Angers,Ligue 1,30,1992,29,0,0,0,0.25,1.97,1.15,0.08
169,Leon Bailey,JAM,FWMF,Aston Villa,Premier League,24,1997,18,0.35,0,0,0.12,2.47,0.94,0.24
170,Eric Bailly,CIV,DF,Manchester Utd,Premier League,28,1994,4,0.42,0,0,0,0,0,0
171,Dénys Bain,FRA,DF,Brest,Ligue 1,28,1993,2,0,0,0,0,0,0,0
172,Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,20,2001,7,0,0,0,0,0,0,0
173,Nedim Bajrami,ALB,MFFW,Empoli,Serie A,23,1999,35,0.13,0,0,0.26,2.24,0.79,0.22
174,Cédric Bakambu,COD,FW,Marseille,Ligue 1,31,1991,12,0.25,0,0,1,4.75,2,0
175,Abdoulaye Bakayoko,FRA,DF,Saint-Étienne,Ligue 1,19,2002,4,0,0,0,0,0,0,0
176,Tiemoué Bakayoko,FRA,MF,Milan,Serie A,27,1994,14,0.54,0,0,0,0.71,0,0
177,Mitchel Bakker,NED,DF,Leverkusen,Bundesliga,21,2000,25,0.3,0,0,0,0.45,0.1,0.2
178,Ridle Baku,GER,DFFW,Wolfsburg,Bundesliga,24,1998,34,0.15,0,0,0.11,1.36,0.29,0.18
179,Dilane Bakwa,FRA,FWDF,Bordeaux,Ligue 1,19,2002,5,0,0,0,0,4,2,0
180,Tommaso Baldanzi,ITA,FW,Empoli,Serie A,19,2003,1,0,0,0,0,0,0,0
181,Alejandro Balde,ESP,DFFW,Barcelona,La Liga,18,2003,5,0,0,0,0,0.48,0,0
